"Data Source","World Development Indicators",

"Last Updated Date","2020-12-16",

"Country Name","Country Code","Indicator Name","Indicator Code","1960","1961","1962","1963","1964","1965","1966","1967","1968","1969","1970","1971","1972","1973","1974","1975","1976","1977","1978","1979","1980","1981","1982","1983","1984","1985","1986","1987","1988","1989","1990","1991","1992","1993","1994","1995","1996","1997","1998","1999","2000","2001","2002","2003","2004","2005","2006","2007","2008","2009","2010","2011","2012","2013","2014","2015","2016","2017","2018","2019","2020",
"Aruba","ABW","GDP per person employed (constant 2017 PPP $)","SL.GDP.PCAP.EM.KD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"Afghanistan","AFG","GDP per person employed (constant 2017 PPP $)","SL.GDP.PCAP.EM.KD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","5476.55825614615","5634.78008532975","5416.42817914051","5746.74899607063","5905.93320851035","6595.43035308994","6742.85245343565","8064.33535219586","8995.41675643325","8641.53699768704","9261.18086391831","9293.17548785063","9063.47125898082","8753.28316229942","8578.74347705743","8455.86892535655","8225.20420451674","8260.39356533973","",
"Angola","AGO","GDP per person employed (constant 2017 PPP $)","SL.GDP.PCAP.EM.KD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","14380.3558780573","13115.414445714","9638.29334049427","9456.63153792795","10533.8033507041","11599.3388306084","12049.7608255123","12205.471288114","12061.2170602898","12009.2469132422","12109.697143461","13325.6456150649","13258.9954880825","14202.9418461039","15761.8390432162","16958.2809834615","18636.2115912266","19963.7924243732","19420.9094762796","20749.4331493286","20249.8537896535","21212.9348684717","21481.8621379645","21709.585911397","21130.7539301827","19859.5760485036","19129.3577677796","18082.1953265523","17318.3660977382","",
"Albania","ALB","GDP per person employed (constant 2017 PPP $)","SL.GDP.PCAP.EM.KD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","9788.72110065693","9152.25277165727","10227.7577514627","11272.2772779587","13046.5832838846","14292.7018476269","12587.6409662369","13755.7651150593","15656.9031154925","16793.0165222476","18359.991333309","19229.8972674149","20497.2819811321","21830.6150310544","23267.6450183413","24786.4593675563","26467.6934136354","27791.8483694926","29112.9572664163","30350.7562508138","30184.3161133985","29832.6733553653","32882.9459350801","33513.9414869701","32667.2064512676","32673.0141857061","32982.0600736296","33743.2832537063","34603.171116743","",
"Andorra","AND","GDP per person employed (constant 2017 PPP $)","SL.GDP.PCAP.EM.KD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"Arab World","ARB","GDP per person employed (constant 2017 PPP $)","SL.GDP.PCAP.EM.KD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","39365.0869250083","40685.2234757647","40696.5995228183","40353.0513087515","40023.7481118726","40441.1387486626","40812.1146964497","41985.1304473338","41334.817694013","42541.3366677593","42191.4393395531","41439.0816208736","42165.1304858364","43841.0039600207","44707.1831171474","45474.3129435073","45544.0283842017","46557.5410325094","45255.5361074539","45752.1651499078","46691.848313748","48244.0146937644","48319.5139683992","48684.0464411561","49672.0448771519","50390.3092975062","50593.2283363931","50738.1266022821","50430.241267473","",
"United Arab Emirates","ARE","GDP per person employed (constant 2017 PPP $)","SL.GDP.PCAP.EM.KD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","211759.244487321","203152.31002462","191028.91135173","189943.941040965","189448.809071574","191197.68217485","195935.14330464","185418.847139181","179665.363505682","186647.559523279","175962.070696573","167439.980895544","166647.260036555","162104.555700079","146257.355253263","134778.349682406","115272.767827743","100574.423629416","83689.5404981362","77449.5046882766","79557.4019989994","81824.7513170662","85934.6029111158","89432.7558015306","93309.0185510047","95717.7762203845","97880.5155544215","97686.0401794442","98168.3085032758","",
"Argentina","ARG","GDP per person employed (constant 2017 PPP $)","SL.GDP.PCAP.EM.KD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","38423.8324704968","41019.3527205409","45217.9575655667","47785.7070188279","49873.9944268302","50538.1485430211","51972.1408311616","51638.2617789742","50075.3713036095","49490.7311598408","48060.6746559317","43840.6704227877","44299.3547910091","46195.2093841789","48726.8800859118","50906.2842449962","54451.5816641848","56200.0891734422","52313.4626307389","57048.2093212222","59041.2076468021","57794.1644194319","58608.3860819539","57004.8177747773","57799.6835121683","55769.6600752286","56599.8005733641","54279.5353186736","52911.7698655587","",
"Armenia","ARM","GDP per person employed (constant 2017 PPP $)","SL.GDP.PCAP.EM.KD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","11700.2847311366","6975.44706323531","6785.59371527433","7464.4355094699","8193.68505423343","9066.96312543501","9622.13748838463","10219.8676522131","10805.619857128","11460.0153649814","12518.7300169889","14147.6127294189","16090.3758627375","17703.9799679796","20042.4395903554","22562.4207873189","25480.4318180205","28298.2900450355","25581.4952085904","25179.0762994626","25565.0216513468","26841.7260625304","27168.3614551943","28856.9520813072","30357.8151115144","30750.2643094039","33254.0077079219","34910.0021662334","37320.8939265049","",
"American Samoa","ASM","GDP per person employed (constant 2017 PPP $)","SL.GDP.PCAP.EM.KD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"Antigua and Barbuda","ATG","GDP per person employed (constant 2017 PPP $)","SL.GDP.PCAP.EM.KD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"Australia","AUS","GDP per person employed (constant 2017 PPP $)","SL.GDP.PCAP.EM.KD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","68882.6696437114","69454.5032024593","72080.045373436","72574.8061150896","72644.2859968668","74430.6362574297","76701.7908801601","78750.154470383","81215.1166149634","82251.9930730494","82646.2592971802","84256.9935912345","84831.3806124321","86742.3164920371","86564.2125743466","86725.3434649918","88285.1202684718","89010.1807656809","90108.5341147484","90074.9896185515","90862.9692091753","93293.336510863","94776.5821381725","96470.6847821793","96720.1116861393","97819.5647536112","98044.2938574194","98610.2616510145","99502.5912530569","",
"Austria","AUT","GDP per person employed (constant 2017 PPP $)","SL.GDP.PCAP.EM.KD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","85623.6214069433","85699.5668439376","85924.4479741603","85150.6025538705","87377.1115922314","90965.7600577923","92990.5861840592","95822.9027122576","97640.1059654842","100637.131789179","101508.642941844","101843.36729887","102227.112661078","108958.419650527","107674.901403254","109384.95341846","110604.536475491","110130.0752968","106103.453227536","107009.29104526","109109.185298024","109001.150226262","108533.7529107","109121.944817603","109156.415633187","109798.384467783","111092.506147563","112331.107697395","113418.722346731","",
"Azerbaijan","AZE","GDP per person employed (constant 2017 PPP $)","SL.GDP.PCAP.EM.KD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","18953.5254682017","14423.4392769621","11077.188897289","8822.45773639265","7689.02554934856","7751.96009158526","8185.54567023352","8983.9108073923","9605.59960747085","10598.9820942011","11307.2390709551","12014.8052704715","12871.1441470638","13567.2723804889","16813.5696042826","21934.3119750495","26833.8005670778","28530.4734202079","30101.4861482563","30827.5627103108","29685.5753109488","29714.0451813929","30875.571188933","31134.1531197657","30930.5992086803","29428.5341804207","29098.4452667369","29172.3170558403","29940.9212352159","",
"Burundi","BDI","GDP per person employed (constant 2017 PPP $)","SL.GDP.PCAP.EM.KD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","2675.91284464626","2694.58276159052","2519.9284787327","2417.4462244586","2221.531447787","2041.69481200227","2008.50686341756","2101.04761721265","2065.21339575537","2022.59601334596","2008.81515089246","2033.93037915311","1940.82622702188","1961.73623494853","1907.63307754888","1939.42151730183","1933.62136379369","1955.1192049421","1961.93551905449","1993.54389883268","2013.05472230887","2042.22742531058","2082.53114637152","2109.55544243164","1957.65271056151","1879.38537414081","1824.14490666124","1790.6979623459","1764.44462639642","",
"Belgium","BEL","GDP per person employed (constant 2017 PPP $)","SL.GDP.PCAP.EM.KD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","96305.4236087679","96547.7914202025","96485.8014262579","99804.9776620561","101066.246886587","102501.455621167","105252.532377999","106818.380042854","106974.474425353","107413.821961279","110721.831971599","112380.818704368","113675.392591596","115141.3282979","115303.87143603","117516.167846452","118550.895008324","117383.997786881","115640.408880728","117029.33612742","118025.764058669","118556.329092399","118914.991866933","120289.586979928","122260.893171844","122821.242893578","123014.784769215","122454.516344858","123821.18964656","",
"Benin","BEN","GDP per person employed (constant 2017 PPP $)","SL.GDP.PCAP.EM.KD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","5664.19934092865","5627.09613209608","5731.25226997614","5627.3581757641","5749.49833977342","5814.12786936309","5961.74184106604","6012.7606315643","6145.15687990879","6307.59072870734","6449.10144190431","6548.12207072739","6550.69526582418","6618.73544328774","6518.41870607701","6583.09616209922","6783.08507757975","6920.95511115611","6895.3527909083","6850.88569404945","6977.26395860069","7095.64577295489","7379.45247238001","7606.65130006327","7499.18744145561","7511.43698021115","7690.06707021766","7949.29256205438","8209.46761448984","",
"Burkina Faso","BFA","GDP per person employed (constant 2017 PPP $)","SL.GDP.PCAP.EM.KD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","2530.22963478729","2486.13919832837","2519.97995493258","2497.89741883305","2580.99461954363","2808.91062217883","2923.49647568372","3069.01132303117","3227.29918993733","3217.5258935737","3365.99588684193","3445.0888462041","3639.76096140652","3745.4465008103","4009.31537963905","4162.91012905672","4229.05086836478","4394.44497963425","4459.48209135589","4759.45262638651","5003.34628447211","5252.24545020076","5482.28289957912","5641.19935974399","5669.27965801716","5812.03980814073","5969.27946042437","6161.40873199286","6323.50955900562","",
"Bangladesh","BGD","GDP per person employed (constant 2017 PPP $)","SL.GDP.PCAP.EM.KD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","4661.35461060412","4775.00899855437","4856.56291344351","4896.1357735206","4991.52913685139","5070.13678520603","5152.04252032042","5269.72739562475","5368.25779805955","5503.0325698876","5654.46589721801","5746.38745455769","5893.63813619233","6056.73231506456","6308.84552367944","6566.93550009418","6930.46745824752","7253.80194583422","7552.30345717376","7709.16509647456","8084.35954129738","8485.46828212638","8866.77012856484","9231.41301305663","9659.21616944769","10164.4322140445","10299.8524460211","10883.5752342789","11555.2334027249","",
"Bulgaria","BGR","GDP per person employed (constant 2017 PPP $)","SL.GDP.PCAP.EM.KD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","27820.9991201116","25998.8115473059","26116.2123972032","26958.8427830429","28167.2419479456","30105.2616479283","26300.2049493764","27509.5486890271","26333.0505245806","28922.3946880374","30772.8686363448","32716.2584707972","33333.6252537665","34363.3664290916","36661.26992717","37469.5190501865","38217.7993832189","39291.6942191661","39285.7487531312","42046.632010708","44606.3977725836","45152.1835247441","45303.2155127611","45464.7264935344","46459.7191146426","48423.2620463676","48002.2237812077","49425.1338981455","51285.0656146491","",
"Bahrain","BHR","GDP per person employed (constant 2017 PPP $)","SL.GDP.PCAP.EM.KD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","96846.6237425971","99837.8043624968","109084.271900259","104558.665036263","104644.107806316","106296.232564757","106476.268230392","108115.025102387","108899.606283034","109099.205184535","104826.583004715","100643.42271261","98833.1303958907","96966.143463189","94078.7924957001","90366.3836506586","88035.5309249012","84745.9844482229","80242.8312271856","78382.0768221309","78641.9840992969","80119.8839404508","83689.8463606352","85925.6781508358","85814.4728588593","84348.7795723334","82568.4453750313","78778.746950827","76026.898406599","",
"Bahamas, The","BHS","GDP per person employed (constant 2017 PPP $)","SL.GDP.PCAP.EM.KD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","82330.6248090433","79051.5810346774","75195.4625804462","76427.7437437105","75447.0802061457","77987.4048410761","76836.3843425934","77217.9937457026","81043.4649488716","82522.9319188797","82729.2907822506","85129.3705078219","84081.5669319264","82607.5532071906","83733.0292877503","81374.0331642436","81016.8024061515","77815.5343177936","78387.2400872354","78607.091103431","77342.7789680111","77708.4556991134","76099.7110091285","73400.7296309435","70801.2989320211","71144.1943193137","69881.6195703409","71111.5163067083","71237.0133296783","",
"Bosnia and Herzegovina","BIH","GDP per person employed (constant 2017 PPP $)","SL.GDP.PCAP.EM.KD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","5819.94277820696","7331.08592256662","14251.9897720062","19525.0553414734","22866.7783836186","25345.5507838009","26972.5714982575","28435.6836909189","30234.5948003003","31677.8457733498","33805.2851637768","37183.8153177807","39420.8196771987","39720.9883546485","38122.1746830135","37375.3459814655","38972.8881657905","40186.0084311728","40237.808039199","41070.7458196775","41886.7851201267","44030.2671404634","44571.3396918401","43755.1790705137","44518.9036283685","46187.6660286996","",
"Belarus","BLR","GDP per person employed (constant 2017 PPP $)","SL.GDP.PCAP.EM.KD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","19221.4768583238","17812.0879652234","17380.4042534328","16075.1532611614","15236.830800015","17008.1486385433","17268.0212934742","18016.7742824679","18301.3941273815","19007.554338359","19588.9285527555","20288.5604899376","21410.9054050404","23522.9897044883","25388.6660540179","27601.7506410106","29596.9093889782","32223.4966479197","31994.3300522981","34336.2921397817","36116.8634086196","36682.4895177745","37021.475607957","37622.7175919803","36160.9401481508","35217.9366186215","36104.9138250497","36964.6161673707","37725.4747328431","",
"Belize","BLZ","GDP per person employed (constant 2017 PPP $)","SL.GDP.PCAP.EM.KD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","17467.8006449652","19184.7518820086","20036.1366690776","19940.6817021741","19730.1284659432","19436.9487800307","18859.8062160555","18893.3589703387","19191.2321754907","20213.7546461608","19827.2881809248","20105.9016265283","21163.7143430753","21337.9005827563","20921.4450053227","20811.1595861783","20006.7461054402","19935.3901650543","19380.0459962966","19324.0933816184","19008.7688574273","18812.350444693","18430.5881627667","18324.5845735746","18070.733122922","17188.2101510157","16988.4110548163","16809.9530329365","16366.5217511752","",
"Bermuda","BMU","GDP per person employed (constant 2017 PPP $)","SL.GDP.PCAP.EM.KD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"Bolivia","BOL","GDP per person employed (constant 2017 PPP $)","SL.GDP.PCAP.EM.KD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","11564.1900742222","11490.1795826131","11670.4296390726","11881.3975722645","12095.660857213","12303.8755285574","12573.5422967957","12886.2985771508","12643.2505646405","12652.8473823382","12505.073328649","12463.4832553485","12445.4594963008","12600.435232691","12788.6973738446","13028.662989731","13514.7926416264","13957.9908358351","14154.6356064985","14384.8418426121","14780.7761065104","15812.7749960994","16492.5869180891","16482.5924303368","18175.8590844164","18461.5532613726","18490.7872776841","18088.0542536584","18146.7331792884","",
"Brazil","BRA","GDP per person employed (constant 2017 PPP $)","SL.GDP.PCAP.EM.KD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","27640.1108158776","26689.6845441094","26986.8586119987","27630.8315084562","28033.420954237","28850.4183301197","29101.335484179","28819.4310788482","28278.9056899161","28661.2403072989","28270.0639752856","28161.1456720591","28102.7372426575","28567.6088046234","28815.5706058632","29294.7665361629","30582.4384895825","31281.0361653316","31031.2790258721","33118.2017695017","34195.868792954","34042.0990068752","34524.4270799902","34224.9081802296","33095.9529935142","32866.5826598611","33200.8913714426","33044.9224102354","33025.0298063844","",
"Barbados","BRB","GDP per person employed (constant 2017 PPP $)","SL.GDP.PCAP.EM.KD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","32893.6930784123","31197.0905524808","31635.2040581441","31213.4422652692","30038.1792809231","29574.6102895836","30765.5742699312","30984.054774562","30374.6601324188","31222.7766513922","30397.772343885","30577.3125567698","31277.7812160395","30760.3949958838","31661.929903173","33288.2125694249","33429.3135256649","33839.6715213314","32759.991268488","32300.6782520433","32104.4111318061","32434.1507743001","31445.110805875","32450.9800040579","32495.860467475","32169.9893817776","32275.7405162056","31924.9568287061","32234.6189017097","",
