"ï»¿""Data Source""",World Development Indicators,

Last Updated Date,2020-12-16,

Country Name,Country Code,Indicator Name,Indicator Code,1960,1961,1962,1963,1964,1965,1966,1967,1968,1969,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,Unnamed: 65
Aruba,ABW,educ spending per person (current US$ per capita),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,90887.5064135929,85080.97084231966,97220.00884504186,97968.31906324922,100624.07497627781,,99499.28710063062,109074.9456186608,,124397.20008163326,135402.66073790748,145930.26353438306,162925.16686551087,152892.54443053016,161851.4880537338,170372.23399448543,157361.67103718998,167205.6262056961,156230.4192854762,,,,,
Afghanistan,AFG,educ spending per person (current US$ per capita),,,,,,,,,,,,,185.15583201101373,151.1737891243646,204.39338910673823,,243.08339183099295,,,,479.7320708230627,501.9392909349,504.2334122739251,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1890.3957621740788,2046.611328295157,1671.5616330554071,2201.062753095758,2268.3355110119687,1883.370756982959,2153.159908496809,2110.144625099304,,,,
Angola,AGO,educ spending per person (current US$ per capita),,,,,,,,,,,,,,,,,,,,,,,,,,,3101.3584794852195,3921.5883367947163,3825.5580150673836,,,,,,,,,,,1087.4157889201626,,1451.9674696695179,,,,,4033.3447054917,5930.807026479875,,,,12275.298458646193,,,,,,,,,,,
Albania,ALB,educ spending per person (current US$ per capita),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2021.3653941585433,2863.285789917327,3114.2761588274643,2424.366184951866,2878.359816170184,3712.3651574815067,3864.715382330268,4432.875269255019,4443.254250044054,5793.564087390061,7660.77639112606,8774.166471355673,9487.390904734977,11777.089834622864,,,,,,15619.146151191788,,13589.61168968567,16339.88001480051,16364.77884964605,,,,
Andorra,AND,educ spending per person (current US$ per capita),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,68150.04891642938,,,,,41603.756318436404,,58628.960744356984,65907.79302297786,95802.9315533659,100611.95948030896,140013.54860706464,136727.0325710316,121603.27238457279,129445.23046512586,,99090.47643163762,126976.94976028232,117313.59148725851,121308.1182784709,125347.08852693433,135690.3515283244,128858.36449197996,,
Arab World,ARB,educ spending per person (current US$ per capita),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,14641.963152630975,,,,26670.553829935074,,,,,,,,,,,,,
United Arab Emirates,ARE,educ spending per person (current US$ per capita),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Argentina,ARG,educ spending per person (current US$ per capita),,,,,,,,,,,,1928.4563557806978,,2727.8448486536877,3733.7905633747696,5472.152035084752,3737.5987919016466,2270.9286160776683,3662.7575957608487,4154.395720403809,6050.91777593244,7192.697437938604,,4678.399651869253,5747.588326932479,6834.706463532625,3984.97538253006,4558.764285377307,4568.675367808307,,2493.8117845183347,4625.472845576998,,,,,,28815.941385608032,,33488.52373106954,35154.86824678489,35305.491054679704,34843.3956653743,10418.586704929208,11841.731856418273,14914.361265701016,19724.07674723517,24434.925082591137,32333.539335670877,43700.80732747568,45493.646666826404,52134.530182751194,67978.58463561929,69937.69895646352,71112.24658239057,66132.28294638968,79647.13218559518,70928.15902213124,79819.79844946961,,,,
Armenia,ARM,educ spending per person (current US$ per capita),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,931.7169819454316,,,1335.375131590959,1726.6958810398605,1714.836483972116,1672.2502563164662,1995.1603432499223,2963.9809012167625,4457.907419614494,5861.021921615042,9477.290324521087,12725.366974925146,11500.641001265629,10456.493157026936,11084.60156364124,10207.87620018044,10171.883636547904,8958.01941939169,10121.750272812365,9906.696376816823,10598.864893120282,,,,
American Samoa,ASM,educ spending per person (current US$ per capita),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Antigua and Barbuda,ATG,educ spending per person (current US$ per capita),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,28257.381998100907,,,35305.431250987145,,,,,,,35644.3010072979,,,,,,,,,,,,
Australia,AUS,educ spending per person (current US$ per capita),,,,,,,,,,,,,,,,,,,,49525.4213274222,54732.49554500486,57639.92139978321,,69957.35230805501,61878.40513288458,,61825.75589677101,60010.34510278787,58936.131841807284,70108.1189669342,84527.83219235331,85163.16806038927,90246.55176169472,87138.61881160294,97281.26406184795,94827.75950893217,104522.34978737147,114574.55410295131,,,,106043.38947780283,,,,,166946.4746552377,171220.58493856736,190910.31258811633,230040.5874681074,217532.52816736783,288725.90774159186,317247.37862396985,331151.14527408517,356407.35053163324,322853.86681178183,301444.9755088964,263686.6734653131,276852.8054657719,,,,
