"Data Source","World Development Indicators",

"Last Updated Date","2020-12-16",

"Country Name","Country Code","Indicator Name","Indicator Code","1960","1961","1962","1963","1964","1965","1966","1967","1968","1969","1970","1971","1972","1973","1974","1975","1976","1977","1978","1979","1980","1981","1982","1983","1984","1985","1986","1987","1988","1989","1990","1991","1992","1993","1994","1995","1996","1997","1998","1999","2000","2001","2002","2003","2004","2005","2006","2007","2008","2009","2010","2011","2012","2013","2014","2015","2016","2017","2018","2019","2020",
"Aruba","ABW","Domestic general government health expenditure (% of general government expenditure)","SH.XPD.GHED.GE.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"Afghanistan","AFG","Domestic general government health expenditure (% of general government expenditure)","SH.XPD.GHED.GE.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","1.21245611","5.45767879","3.60296822","3.37097836","2.72002935","2.60708547","3.00128436","2.51257253","2.25547075","2.18811941","1.37000275","1.77506948","1.8606739","2.01440573","2.14110541","2.31911564","1.79805613","","",
"Angola","AGO","Domestic general government health expenditure (% of general government expenditure)","SH.XPD.GHED.GE.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","2.73858261","5.96825504","4.19123077","4.26046801","5.65923882","4.8206377","4.7187376","4.51627064","4.0603714","5.77788925","4.24956799","4.58056879","4.20151329","4.57540083","3.61568022","4.56262589","5.43269682","5.42673731","5.42673731","","",
"Albania","ALB","Domestic general government health expenditure (% of general government expenditure)","SH.XPD.GHED.GE.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","8.17498302","8.42607403","8.21088219","8.99717617","9.35447407","9.22509766","8.76739883","8.31045246","7.15889835","7.15455055","8.09464931","8.17873192","8.69735146","8.83011913","8.17427826","8.99154949","9.62167263","9.17743587","9.70960903","","",
"Andorra","AND","Domestic general government health expenditure (% of general government expenditure)","SH.XPD.GHED.GE.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","30.57007408","18.39809036","31.03397179","30.97673988","28.49878311","19.56167984","24.12333679","22.48754501","25.47265816","17.43620491","19.71747398","17.23160553","13.39249897","9.66256428","18.83205986","13.73325253","10.09278107","12.7514143","18.59891129","","",
"Arab World","ARB","Domestic general government health expenditure (% of general government expenditure)","SH.XPD.GHED.GE.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"United Arab Emirates","ARE","Domestic general government health expenditure (% of general government expenditure)","SH.XPD.GHED.GE.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","7.56610489","7.58357716","7.80031395","8.08750439","7.94020653","8.37682247","8.5271616","8.52688599","8.52666855","8.52688885","8.52679062","8.52676678","8.52671432","8.52679825","7.77782202","7.89050102","7.89050102","7.43070984","7.2451582","","",
"Argentina","ARG","Domestic general government health expenditure (% of general government expenditure)","SH.XPD.GHED.GE.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","17.81966019","17.37289047","18.4574852","17.12602234","16.25901031","16.02175903","15.09950352","14.39874649","14.65606117","16.42263222","16.69264221","16.27754211","16.66110992","16.54238701","16.28528023","16.49740791","13.46559525","16.04845238","15.19464302","","",
"Armenia","ARM","Domestic general government health expenditure (% of general government expenditure)","SH.XPD.GHED.GE.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","3.86989188","5.66264772","5.3255291","5.37522793","6.27547503","7.44000816","7.93185902","7.19854832","6.69246149","6.34490108","6.43608856","6.70102024","7.04075384","5.78087997","6.27526045","6.11530304","6.05351543","5.27345705","5.26985884","","",
"American Samoa","ASM","Domestic general government health expenditure (% of general government expenditure)","SH.XPD.GHED.GE.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
