"ï»¿""Data Source""",World Development Indicators,

Last Updated Date,2020-12-16,

Country Name,Country Code,Indicator Name,Indicator Code,1960,1961,1962,1963,1964,1965,1966,1967,1968,1969,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,Unnamed: 65
Aruba,ABW,milt spending per person (current US$ per capita),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Afghanistan,AFG,milt spending per person (current US$ per capita),,,,,,,,,,,,255.0642183425982,,,267.52450360095173,279.72578066876525,321.1840238076334,403.99067762421214,451.0225277139128,,,,,,,,,,,,,,,,,,,,,,,,,,,513.9244352458219,482.1422205720907,500.1007921123796,923.0690121298651,851.6818351800127,914.4454132948218,1057.178451619816,1076.7116034759847,754.4660836341177,686.1952621343079,796.793887724768,575.328648894945,487.20622881894127,491.4090204045177,497.08118719148615,595.2927642133969,,
Angola,AGO,milt spending per person (current US$ per capita),,,,,,,,,,,,,,,,,,,,,,,,,,,0.013003774431335243,0.011855172475978986,16826.826229859907,17415.218733965896,17305.54483105022,16550.38993454498,6148.582611929975,3729.9926337518687,7730.978097275881,1876.4880950687518,1869.6796742546148,1279.3526802338395,3071.5090107694928,1119.1394830761112,6722.121763951047,3559.633603414441,2385.8434617255584,2504.000249615794,3697.3868527987925,4358.289035182207,7024.201682685701,9778.257050413104,9722.064541210319,14581.694858094568,14707.079676581472,14988.687978494443,15026.396261680937,16507.273544194148,23411.758947853094,25411.17071529436,12940.2482730162,9583.291557231027,9916.425191210956,5944.196057929981,4589.799585722094,,
Albania,ALB,milt spending per person (current US$ per capita),,,,,,,,,,,,,,,,,,,,,,,,,,3912.0507765396214,3616.1549647262295,3903.8615785074057,3955.793287041958,3666.840050195403,3606.970925866665,3634.4384176550907,1949.26630565349,938.1581877051116,1175.0919084694501,1494.0827274618603,1541.4318084862746,1392.7891264648626,920.4572182260099,1007.6697397750814,1290.735957574785,1404.2532922939536,1678.0655891937986,1881.2139592561994,2467.970872814515,3278.2886523881,3609.626121645743,4660.574999006331,6545.719075582289,8674.9489849227,6242.043895585597,6381.421238425358,6781.136107235033,6316.576540464042,6217.923765879768,6165.20119812551,4594.356127376895,4551.229578413826,5023.52639157927,6172.489818085449,6812.321098157487,,
Andorra,AND,milt spending per person (current US$ per capita),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Arab World,ARB,milt spending per person (current US$ per capita),,,,,,,,,,1654.075563893725,2021.5388347990763,2173.804378038428,2379.458158159501,2597.353294539809,3409.1836857147696,,,,12158.047738057105,12672.89899158758,15095.864483588823,17626.935209279916,20362.53488025372,22526.857198639824,18810.54188267387,19362.885537295893,16553.991150742815,,12991.303948135686,11891.448832954631,11585.8355442291,,22047.68054307145,17531.843589990152,15737.780359323255,14592.917668189919,13682.984813028954,13460.119972065624,15247.907792206357,16516.814606923752,15203.57285632985,16720.365955833724,16077.71895170663,14542.695333277152,14915.578624677491,15914.325506501411,17444.862838846868,19126.782929094952,22461.195475429355,25824.812170247285,27588.950114602092,29868.208735488995,33739.503984880015,37364.86472656521,43292.695121117555,47305.479569907984,47563.475474243605,37603.57727513775,39495.78074739762,39939.557772042965,35641.352159299015,,
United Arab Emirates,ARE,milt spending per person (current US$ per capita),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,199477.90870317598,232136.0638985214,218358.1728159901,277108.5279421727,175551.06222635155,153908.22209753262,157188.00755605675,167549.96923430948,143938.55480171862,135192.2208777515,137157.01195886894,163223.09862461968,174759.4103538768,204667.83851233407,214250.43021439257,207978.53920127664,255946.91679253252,246920.12470244127,,,,,,,
Argentina,ARG,milt spending per person (current US$ per capita),,,,3074.6678528676407,1428.5119579954592,1349.2239446869119,1368.6513723954859,1486.6338779231867,1487.5609726684077,1923.5356676223166,2575.051152230345,2483.531620261285,2480.8305436105134,2569.5017850057825,3876.4960246592536,4720.151317243013,4139.737343800399,7366.804806923196,8537.148818319572,10129.003196892765,11781.164887125515,8549.51537085453,9620.917788104116,7918.66857993633,9732.036417567786,5750.394106102563,6729.264661276315,8360.75975644119,8138.986279664631,8468.289114590076,4482.542786945336,6287.490366864494,8642.766781480268,9697.763370965848,9915.681429771405,10903.22286594486,10913.568864850595,9583.95577636392,9364.107546845265,9419.514752578343,9487.973554769074,8855.2412183209,8536.395391329808,2831.687364962366,3553.7927594585567,3778.491415406848,4328.8349951114105,4665.565808726739,5742.366841151803,6880.729369229981,7291.654651180175,8463.295020080905,9820.221078775441,10267.59837951254,10957.805905043771,10831.197679446263,11722.47440238811,10400.25876142341,12510.779179652074,8672.759444544501,7003.232405799153,,
Armenia,ARM,milt spending per person (current US$ per capita),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,814.4447484036575,820.3688836316858,,1852.568669708487,1654.253154458448,2045.722072569288,2149.2188420491734,2208.9315845483784,2216.977504242928,2171.6346121093584,2112.959984650783,2537.733540217754,3268.2380242238874,4720.745877913789,6361.372754673894,9551.48629858146,13619.184079572615,12447.631398578415,13728.438842469885,13588.262655798928,14071.36024520044,15342.167304905926,15719.219143405617,15292.145234173218,14691.83606473853,15069.775224940107,20667.902874625684,22862.77725386038,,
American Samoa,ASM,milt spending per person (current US$ per capita),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
