"Data Source","World Development Indicators",

"Last Updated Date","2021-02-17",

"Country Name","Country Code","Indicator Name","Indicator Code","1960","1961","1962","1963","1964","1965","1966","1967","1968","1969","1970","1971","1972","1973","1974","1975","1976","1977","1978","1979","1980","1981","1982","1983","1984","1985","1986","1987","1988","1989","1990","1991","1992","1993","1994","1995","1996","1997","1998","1999","2000","2001","2002","2003","2004","2005","2006","2007","2008","2009","2010","2011","2012","2013","2014","2015","2016","2017","2018","2019","2020",
"Aruba","ABW","General government final consumption expenditure (current US$)","NE.CON.GOVT.CD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","263687150.837989","278212290.502793","361452513.96648","365921787.709497","376536312.849162","401117318.435754","470949720.670391","488268156.424581","499441340.782123","516201117.318436","539106145.251397","549162011.173184","566480446.927374","603351955.307263","634078212.290503","649162011.173184","662569832.402235","712290502.793296","536312849.162011","503351955.307263","497765363.128492","497765363.128492","510055865.921788","","","",
"Afghanistan","AFG","General government final consumption expenditure (current US$)","NE.CON.GOVT.CD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"Angola","AGO","General government final consumption expenditure (current US$)","NE.CON.GOVT.CD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","2247834009.58387","2924222723.53447","3892834787.41071","3370783826.94089","5926082302.3643","8036148670.92789","10140406043.3264","14887423467.4158","13990134480.5504","14281398413.8089","20385811310.6112","22848002476.2224","29559336458.4747","26192729691.2385","19093907444.3177","14036680269.1493","15797719684.6597","10616289507.4147","9174022231.9803","",
"Albania","ALB","General government final consumption expenditure (current US$)","NE.CON.GOVT.CD","","","","","","","","","","","","","","","","","","","","","","","","","181118882.72953","182867122.838317","201624987.5","208000000","201124987.5","205750000","389249987.5","251527784.722222","139619502.215707","173511335.701164","275059100.665481","330850354.108795","302481652.916921","235971370.143149","276091558.61339","355119478.638668","337328481.751014","416761798.691355","492857132.682553","622785686.312012","805108765.313537","888242049.938771","936511884.399521","1118714467.54818","1336951365.16534","1338045296.75788","1330733032.70163","1414657498.13174","1336063861.45112","1408641307.02229","1514865377.32272","1265154408.04626","1336673580.76404","1497052896.72544","1710643286.55088","1760764360.05142","",
"Andorra","AND","General government final consumption expenditure (current US$)","NE.CON.GOVT.CD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"Arab World","ARB","General government final consumption expenditure (current US$)","NE.CON.GOVT.CD","","","","","","","","","5640033958.91784","6352979004.50286","6999236027.68544","8084148767.29437","9687653261.21206","12063523314.5043","16663310077.1777","23615435073.5559","30899940718.2869","35351583698.538","45052909583.5302","55227609531.5041","64707752375.7038","80316505063.6579","90293811271.0634","92700862593.8595","90380903095.3913","88385475704.332","91403615458.6378","93965381340.7541","89644837920.1081","92574136099.3317","96644289711.6694","110406414908.402","112163983441.742","100580010035.723","97265025855.7637","101160917525.785","110655227145.971","120979366859.332","121038227610.873","122100258001.548","133899860444.21","136784384644.429","136600794787.828","148537624373.914","166483992435.971","188404741945.301","214678446791.196","243333697372.935","282699946728.502","302904518301.047","335459144983.922","402319148904.044","445390633499.781","502684792524.795","543049647584.609","532844036598.138","494497971932.29","491692989056.297","524850349120.516","538906308468.228","",
"United Arab Emirates","ARE","General government final consumption expenditure (current US$)","NE.CON.GOVT.CD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","10242340340.3676","11142485827.0933","12124060313.1382","12929750524.1661","14219278420.6944","15365627120.4901","17365487787.6106","23019664125.2553","25948399046.9707","29068775901.9741","34902893995.9156","36449312457.454","42851083185.8407","44070401007.4881","44511095983.6624","44725287978.2165","50945949625.5956","49902518720.2178","55921034717.4949","",
"Argentina","ARG","General government final consumption expenditure (current US$)","NE.CON.GOVT.CD","","","2981109322.95567","1873293741.48124","1851010086.55162","2292941109.49128","3093333419.90704","2362424326.82205","2598571394.01054","2969714408.66378","3077105358.84717","3377999916.89886","3248124955.47887","6063222189.12736","9527777909.5819","6601594539.00068","4820215361.52499","5119039948.11081","6485598140.10612","7623189691.88905","","","","","","","","5238095279.67741","5454545411.94322","3444365653.36953","4432002300.89634","6302044992.13424","6807692307.69231","31984701701.7017","33948366600","34445834100","34023284500","35324694300","37352911200","38908460700","39175188600","38037449000","11956773588.4449","14593470488.4092","18301129726.4273","24130382300.7642","28905507926.1954","37348269040.9027","49293062930.4651","52956236298.6285","64237667185.0303","83177086713.2187","90881156804.3051","92774657769.3512","89210530677.4557","107639984288.54","98429812727.8394","113902282153.227","84789777529.575","70251190127.8972","",
"Armenia","ARM","General government final consumption expenditure (current US$)","NE.CON.GOVT.CD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","413148198.889166","382868191.718774","236021087.240056","206549971.36232","151809370.741516","166257444.674382","181144330.142343","188167547.597873","213841427.1556","225711136.22968","206423415.736062","219077937.520268","217887154.443185","263436943.863711","334636423.282407","475836210.300098","591560338.851708","865225908.27677","1095754346.6765","1062288852.80441","1115281652.73022","1207955202.25589","1158563982.83569","1327354216.30039","1403108724.32618","1383711190.80395","1418893741.82342","1420015976.25438","1431005207.37683","1705284120.91205","",
"American Samoa","ASM","General government final consumption expenditure (current US$)","NE.CON.GOVT.CD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
